,0
0,82.57142857142857
1,65.21428571428572
2,76.93537414965986
3,83.49761904761905
4,82.1778911564626
5,89.01190476190474
6,85.58095238095237
7,77.24285714285715
8,74.10198412698412
9,78.25
10,71.7234693877551
11,78.53571428571429
12,87.05456091527522
13,84.61258503401359
14,81.80952380952382
15,81.42857142857143
16,69.01666666666667
17,72.42857142857143
18,77.2047619047619
19,76.81666666666668
20,75.92857142857143
21,77.64285714285714
22,81.32142857142857
23,92.87925170068026
24,86.12900432900433
25,82.23809523809523
26,80.37358276643991
27,79.82142857142857
28,77.27738095238094
29,74.85952380952381
30,78.35714285714286
31,81.75238095238095
32,81.64285714285714
33,85.57142857142857
34,75.08241163598306
35,88.42142857142858
36,98.41751700680273
37,84.78571428571429
38,81.64285714285714
39,80.77936507936509
40,76.83333333333334
41,91.07142857142857
42,77.0547619047619
43,89.32142857142857
44,72.39999999999999
45,76.26190476190474
46,79.37142857142858
47,72.0904761904762
48,81.00510204081634
49,85.97777777777777
50,83.5
51,93.38412698412698
52,83.64285714285714
53,76.95
54,80.04013605442175
55,72.48818027210883
56,68.28571428571429
57,76.70714285714287
58,71.53922902494331
59,77.67857142857143
60,83.2482993197279
61,70.62857142857142
62,81.1826530612245
63,85.00714285714285
64,83.53174603174602
65,76.76190476190474
66,84.44761904761904
67,86.5
68,74.40476190476191
69,70.14880952380952
70,80.12176870748301
71,84.80952380952382
72,90.41666666666666
73,78.65306122448979
74,87.95238095238096
75,83.57142857142857
76,88.5202380952381
77,66.02857142857142
78,73.75
79,88.20476190476191
80,86.97380952380954
81,60.90476190476191
82,77.52380952380952
83,61.285714285714285
84,83.64285714285714
85,68.0142857142857
86,67.43877551020408
87,66.17142857142856
88,80.10714285714286
89,76.25
90,77.68571428571428
91,71.89999999999999
92,73.97619047619047
93,72.42857142857143
94,79.57142857142857
95,65.93809523809524
96,83.66428571428571
97,70.07619047619048
98,77.35714285714286
99,87.45236549165121
100,93.13673469387754
101,83.4357142857143
102,72.26870748299321
103,76.01666666666667
104,76.1938775510204
105,89.46428571428571
106,67.62857142857142
107,79.97380952380954
108,72.03095238095237
109,68.98061224489797
110,80.46666666666667
111,85.02993197278911
112,75.56428571428572
113,91.65476190476191
114,77.74047619047619
115,75.82142857142857
116,64.64285714285714
117,81.09081632653063
118,81.80680272108846
119,73.69047619047619
120,64.81972789115648
121,79.45918367346938
122,81.74285714285715
123,93.39455782312925
124,77.50952380952381
125,75.00714285714285
126,71.65816326530613
127,85.05952380952381
128,74.19081632653061
129,81.62619047619047
130,87.76666666666667
131,81.97579365079365
132,76.57142857142857
133,86.2357142857143
134,91.70714285714287
135,78.58571428571429
136,81.79146825396825
137,69.21428571428571
138,86.46428571428571
139,89.02380952380953
140,88.99285714285715
141,73.66468253968254
142,75.57857142857142
143,78.4047619047619
144,79.05510204081632
145,82.14563492063492
146,67.58460111317255
147,77.43333333333332
148,83.97142857142856
149,68.64285714285714
150,75.36224489795919
151,76.21768707482993
152,80.39999999999999
153,87.02380952380953
154,77.33333333333333
155,72.30952380952381
156,81.1953601953602
157,86.93554421768707
158,84.97755102040817
159,83.35714285714286
160,89.71904761904761
161,74.78571428571429
162,68.88095238095238
163,76.07142857142857
164,76.7404761904762
165,89.64285714285714
166,81.57142857142857
167,75.06496598639455
168,98.77619047619048
169,78.70238095238096
170,77.86802721088436
171,74.13435374149661
172,92.43809523809523
173,76.21428571428571
174,81.50714285714285
175,77.75340136054422
176,80.41428571428573
177,74.08333333333333
178,84.25
179,91.58333333333333
180,94.17857142857143
181,73.21428571428571
182,75.92857142857143
183,86.19557823129252
184,82.0
185,87.92857142857143
186,73.60714285714286
187,79.91904761904763
188,77.16156462585035
189,74.69285714285715
190,79.65102040816326
191,71.10629251700679
192,78.82857142857142
193,83.10714285714286
194,80.21666666666667
195,79.19285714285715
196,77.94047619047618
197,74.92380952380952
198,81.19047619047619
199,80.21428571428571
200,83.28571428571429
201,79.33367892611591
202,93.4047619047619
203,89.8809523809524
204,77.35158730158732
205,76.67738095238096
206,80.5047619047619
207,87.14285714285714
208,89.8843537414966
209,70.39285714285714
210,79.79285714285713
211,69.56504884004885
212,79.99435683364254
213,84.36666666666667
214,83.5498299319728
215,88.77551020408164
216,89.54642857142858
217,79.22471655328799
218,78.19727891156462
219,82.54761904761904
220,89.03095238095239
221,77.39285714285714
222,68.08503401360544
223,76.22789115646258
224,91.31587301587301
225,79.45238095238096
226,77.53367346938775
227,72.08656462585034
228,78.11428571428571
229,69.52857142857142
230,77.23571428571428
231,84.34285714285716
232,68.30203657220463
233,83.90306122448979
234,85.23809523809526
235,87.70714285714287
236,70.74962894248607
237,78.23333333333333
238,87.71428571428571
239,73.6734693877551
240,76.14965986394557
241,77.25238095238095
242,72.89285714285714
243,78.02380952380952
244,81.79324960753533
245,78.53571428571429
246,84.73469387755101
247,81.46768707482995
248,85.69047619047618
249,90.28571428571429
250,75.02813852813851
251,86.70068027210883
252,79.77619047619048
253,78.76349206349207
254,71.43877551020408
255,89.6190476190476
256,83.00064935064935
257,92.73673469387755
258,78.71292517006803
259,72.98571428571428
260,80.89676870748299
261,77.23333333333335
262,73.40034013605442
263,76.87857142857142
264,75.5673469387755
265,72.93673469387755
266,73.11904761904762
267,69.16666666666666
268,77.09251700680272
269,87.14285714285714
270,88.28333333333333
271,87.38095238095238
272,82.64727891156463
273,63.42857142857143
274,76.82142857142857
275,79.26904761904761
276,87.57748917748918
277,75.53571428571429
278,69.66666666666666
279,81.45238095238096
280,62.38095238095239
281,71.25238095238095
282,68.46428571428571
283,83.19047619047619
284,81.65714285714286
285,76.42857142857143
286,81.41836734693878
287,69.71428571428571
288,72.32142857142857
289,73.7969387755102
290,79.17142857142858
291,76.55714285714285
292,66.03571428571429
293,77.62551020408162
294,68.21428571428571
295,75.97380952380952
296,76.60714285714286
