,0
0,125.08333333333334
1,128.61904761904762
2,125.19047619047619
3,136.31666666666666
4,117.12755102040816
5,148.70238095238096
6,130.46428571428572
7,116.9095238095238
8,126.40317460317462
9,140.78571428571428
10,128.81122448979593
11,123.60714285714286
12,124.69514533085962
13,126.11275510204082
14,138.54285714285712
15,129.14285714285714
16,118.17142857142858
17,143.64285714285714
18,131.81666666666666
19,132.52142857142857
20,137.35714285714286
21,131.07142857142858
22,121.85714285714286
23,136.62244897959184
24,147.21131725417442
25,125.06190476190477
26,124.18656462585034
27,129.67857142857142
28,129.26190476190476
29,121.12142857142858
30,125.0
31,128.57619047619048
32,131.28571428571428
33,130.9047619047619
34,125.56617152688582
35,128.28571428571428
36,140.62244897959184
37,130.21428571428572
38,134.16666666666666
39,131.91904761904763
40,126.28095238095237
41,132.35714285714286
42,127.98571428571428
43,131.67448979591836
44,132.21666666666667
45,128.52380952380952
46,132.2047619047619
47,138.8748778998779
48,137.78987441130297
49,127.64166666666667
50,133.26190476190476
51,129.80476190476188
52,137.57142857142858
53,131.39285714285714
54,127.01530612244899
55,132.00544217687073
56,118.07142857142857
57,127.38571428571429
58,130.55884353741496
59,125.57142857142857
60,125.90306122448978
61,133.02857142857144
62,128.83061224489796
63,140.00714285714284
64,130.9611111111111
65,146.4892857142857
66,119.90238095238094
67,129.55
68,130.78571428571428
69,132.89880952380952
70,140.45646258503402
71,129.4047619047619
72,141.95238095238093
73,139.2391156462585
74,140.73809523809524
75,138.16190476190476
76,136.8654761904762
77,127.93809523809523
78,107.18571428571428
79,127.21785714285714
80,116.2047619047619
81,114.63265306122447
82,121.32142857142857
83,138.07142857142858
84,137.85714285714286
85,142.4904761904762
86,115.26020408163265
87,120.35714285714286
88,126.07142857142857
89,115.2
90,122.01428571428572
91,126.26904761904764
92,126.40476190476191
93,127.07142857142857
94,129.42857142857142
95,129.04268707482993
96,131.21428571428572
97,141.59047619047618
98,130.72142857142856
99,132.97700989486705
100,141.20102040816326
101,131.12619047619046
102,138.96802721088434
103,120.9952380952381
104,122.52522675736962
105,140.71428571428572
106,115.27857142857142
107,131.81190476190474
108,129.96666666666664
109,130.24659863945578
110,122.46428571428574
111,130.24761904761905
112,117.60714285714286
113,128.0595238095238
114,126.57857142857144
115,122.80952380952382
116,128.73809523809524
117,142.5207482993197
118,143.03486394557822
119,112.53571428571426
120,117.99489795918366
121,120.03061224489795
122,131.29285714285714
123,136.63095238095238
124,133.9952380952381
125,128.9595238095238
126,118.12074829931973
127,122.13809523809525
128,113.21020408163265
129,135.07619047619048
130,129.10238095238097
131,121.90992063492062
132,149.46428571428572
133,127.97857142857143
134,128.71428571428572
135,118.53809523809524
136,121.38531746031744
137,123.42857142857143
138,142.28571428571428
